P20290	Q12955
Q96B97	P47755
Q15185	Q96IC2
P36578	O15226
O14757	Q14566
O14980	P61925
Q99638	O15527
P04792	P02794
O95059	Q969H6
O95994	P61978
Q14498	P62318
Q9P1U0	P62875
O14776	O75533
Q14197	Q96GC5
Q13503	Q6P2C8
P07992	P23025
Q9BRS2	P61978
Q6P4R8	Q9Y230
Q9BSW7	Q9UJV3
Q6PI98	Q9H9F9
Q9UI95	Q9H582
Q9UL33	Q96D71
Q96C92	Q9UJC3
P06401	P12956
Q9P086	P19388
Q02241	Q9Y5B9
Q969H0	Q9UBK2
Q9NSP4	Q8N0S6
Q9Y4K3	P51617
Q8N5N7	Q14197
Q15024	Q06265
Q9UK41	Q9BRG1
Q00987	P24522
Q93009	Q16204
P25398	P42677
Q38SD2	Q96SN8
Q92793	O60381
O00566	Q68CQ4
P62805	P45973
Q3B726	O15446
P03372	Q9BQA1
Q14203	Q86V48
Q9UJX5	Q8NI77
Q92667	Q99615
P47755	O43707
P60468	P37268
P19388	P03372
Q9H6T3	Q9Y6K9
Q9Y664	Q12980
Q9BTK6	Q9UBL3
Q96EB6	P10636
Q9NWT6	P47974
O95793	Q9Y383
Q9Y4X4	Q9Y2R9
Q96Q05	P48553
Q9Y3U8	Q07020
Q8NHY2	Q7L5Y6
P30086	O95881
P38936	P09874
Q15185	Q9NUG6
P10276	Q02880
Q9HBG6	Q96FT9
Q8N8J7	P04844
O00571	Q12986
P08047	O15062
P60896	O43242
Q96T60	P49917
P27694	Q92889
P68431	P48382
P0CG48	Q9UJ41
Q49A88	Q86YT6
P29590	P23497
Q9UI95	P25705
P06576	P10809
Q9Y4X4	P82912
Q16658	O14732
P54274	Q96BK5
Q13217	P19525
Q9UBN7	P21860
Q92905	Q9P2K6
Q9H3S7	Q9H553
Q9Y4A5	Q92993
P29590	Q96ST3
Q13501	Q86UE4
P47756	Q9Y6G9
P0CG48	Q9NVE5
Q04323	Q9UNZ2
P62280	P62424
Q96RU2	Q6P1J9
P54132	P09874
P56180	Q9BXW9
Q5S007	O43426
Q9BYN8	Q9Y2Q9
P36871	P37837
Q8WUU5	Q96QT6
Q9UKX7	P12956
P62888	P61353
Q99608	Q9BPZ3
P62906	P35268
Q2KHM9	Q9BT92
P62263	P05388
O60341	Q13330
Q86VU5	Q14974
P46937	P62424
O95831	Q96EX1
Q16740	Q02218
Q9H8V3	P19338
P78545	P12956
Q16795	P28331
Q9Y2D4	Q8IYI6
Q9BZJ0	Q13573
Q9UHD2	Q13114
O95071	Q9NX24
P49917	Q13769
P15976	Q12824
Q86SQ7	O75665
P35712	Q9Y5L4
P50542	O75521
Q6UVJ0	Q8NHV4
Q5TEU4	Q8N9I9
Q5JTZ9	Q15118
Q9UJX6	O95997
P62753	Q15061
Q8NEM0	Q13535
P15313	P61421
Q8NBZ0	Q9ULG1
O95197	Q9NQC3
P42704	P49821
Q6ZYL4	P32780
Q9HD36	P10415
Q9NVM6	Q9HCS7
Q96AG4	Q9H089
P62701	P61353
P61313	P62750
P08865	P25398
Q9UI95	O00567
Q8WTX7	Q9NXC5
Q15428	Q09161
P78395	Q15370
Q86VM9	O75152
Q96GF1	Q4ZIN3
Q7L2J0	P16278
Q96KC8	Q86UE4
P15976	Q99750
O00555	Q86SJ2
Q9NQW6	Q0ZGT2
P60174	P61604
P62753	O60287
O75665	P41227
P06748	Q9P275
P61218	Q9Y5B0
Q13098	Q7L5N1
P55211	Q9C000
P62277	P42677
Q15744	O75925
Q9H0A0	O95714
Q14247	P47755
Q93034	P41250
P35222	O15169
Q9BWF2	P12004
Q15008	P49721
P68431	Q8IWI9
Q4VCS5	P35240
P03372	Q9Y4B6
Q9NYP3	P33993
P49023	Q05397
Q93009	Q99426
Q8NBF2	P19525
O75140	Q8WTW4
Q9NZ63	Q8N960
Q9Y248	Q9NPI8
Q96CW1	O43747
Q8NCE2	Q9UBB4
Q15311	Q96D71
O95817	Q9H2U2
Q9BSH4	Q12849
Q9H3R5	Q9BS16
P49721	P62191
Q96I51	Q9NPE2
O14776	Q15428
Q9Y3B4	Q15459
