O[C@H]1CCN(C1)C(=O)NC1=C2N=C(C=CN2N=C1)N1CCC[C@@H]1C1=C(F)C=CC(F)=C1 DB14723	O=C(Nc1cnn2ccc(N3CCCC3c3cc(F)ccc3F)nc12)N1CCC(O)C1	2119707;4432428;7995636;453610;5611662;56084;1705976;1988772;11897095;7450234;911702;10774745;12660129;5475427;2921979;3025314;10075457;6963230;751456;2576298;4751749;5703593;6595719;303534;19993887;619387;1346545;197797;2345016;2916904;5422463;1246112;4852957;14873996;7172269;2628297;4688553;1716419;14898155;34330290;5314288;7801408;7107049;12720402;17870193;10797219;2420627;2638095;7312131;439218;3358398;3382537;5334017;10308213;599574;4073966;3144013;1350239;643443;1333548;3967980;1613826;5998830;4480854;14813635;178168;122042;1621151;4547553;4310647;4700328;6703015;18401726;828140;12610584;2784511;2721549;8411515;3386405;772305;11944346;1346507;4906978;1646614;11315737;921220;5048026;432773;1898950;12370879;949625;11692550;5288940;4754678;2537463;4119909;16236318;6251625;226251;1417908;15743235;10143177;1007304;1256579;10981490;21638829;14505529;266873;4307656;1850150;4545492;123069;1885573;1526881;3509125;10866557;79103;4684883;8514983;2461666;6037644;19309000;3733236;3294966;206097;1058886;4389644;1121197
CCCC[C@H](NC(C)=O)C(=O)N[C@H]1CC(=O)NCCCC[C@H](NC(=O)[C@H](CC2=CNC3=CC=CC=C23)NC(=O)[C@H](CCCNC(N)=N)NC(=O)[C@@H](CC2=CC=CC=C2)NC(=O)[C@H](CC2=CN=CN2)NC1=O)C(O)=O DB11653	CCCCC(NC(C)=O)C(=O)NC1CC(=O)NCCCCC(C(=O)O)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCCNC(=N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC1=O	3951135;2267660;729134;1561872;2852937;231679;134919;5324412;3622007;1532034;534844;614767;1009873;150363;1292923;2012897;2006889;1866224;1479780;1397653;2635752;1528139;59219;503102;2337535;1342597;1443441;1226221;183928;78741;375878;3636380;894818;557696;791605;812059;3375905;1041294;2594023;520687;620281;266575;1108997;142792;357273;3620171;1417701;485731;1205763;309982;3711022;1539725;391999;2220749;641794;1547550;856109;1460462;2393517;597348;1827404;302040;1712488;3141564;123159;333792;1547195;1716218;944622;187192;1617336;2729819;1120862;2246737;932564;92426;2252682;162470;168034;3612472;1704660;126675;1302888;616374;3744491;813940;1652270;1375525;4801425;2249406;1549443;397242;2565309;600974;569430;1549426;777371;3276448;562147;903342;193220;4314414;470756;1345027;7054580;1506066;630013;851499;351956;1526214;1169703;294351;772611;206380;164376;46259;3793543;2698363;1083345;118393;972492;1104420;115996;88595;632471;8576;1184476;487016
CC(=O)OC1=CC=CC=C1C(O)=O DB00945	CC(=O)Oc1ccccc1C(=O)O	43491423;3019006;5230804;85647327;11465328;100447029;5365177;68623068;67617227;53196746;8323874;5648871;65712301;2323449;6491963;47504425;2179057;28868494;4042232;82022130;54942935;5703593;93754879;2358238;29957929;19483999;6336735;13304544;14511672;10804596;9460130;23687909;44254479;25446508;6360153;39111335;27192278;12165460;9082431;15520463;13145457;21436798;80751682;922034;168175993;3520915;5345867;9409867;126544477;1788330;16743881;12510543;42581205;2497643;12969638;23214830;35751277;11125961;15653746;820892;38192940;26151966;27815544;4094952;19746943;37697716;56384029;30661228;30331259;24283510;83487600;7905763;97805422;51879849;120791455;6240066;27199202;8255034;4105553;75415477;36775991;30833011;31135248;12856214;29485280;22723564;11990377;1512909;2367423;13483028;513553;4481522;5272586;11349436;3921855;72201048;7565512;21566536;33361321;1417908;9758815;103763492;26587956;7165699;42121402;10260989;3528229;818985;44593588;2349446;86291334;16581213;18137561;16679721;826944;13081027;55282223;1200983;24728669;20913679;55355482;69980676;58608000;34063238;38408487;6039716;24365316;8045206
C[C@](N)(CC1=CC=C(O)C(O)=C1)C(O)=O DB00968	CC(N)(Cc1ccc(O)c(O)c1)C(=O)O	371106;33203872;57054903;8410042;15030011;88400837;30844644;59056652;13185303;30802706;27603456;8659897;17328165;2323449;10326331;34680058;50310673;12694502;4042232;4782518;10881485;5703593;31726883;6803918;19436425;13737052;26736658;83881600;18812600;37047626;9460130;7868760;3016995;20583604;18341929;40990761;8150262;40440402;13147371;15520463;8410764;5809683;64354864;8577550;6172493;17020699;17786121;4900225;6228083;1788330;88822773;9309139;25218383;5240661;92682692;44138606;26445549;11125961;56787701;7552412;43983660;15886096;14582017;23673928;3082271;28415540;1595959;43492130;3250527;19482174;32156720;14008551;4603654;8459132;15547619;6240066;4448646;8799993;138659;27487451;18632365;25820211;2276868;12856214;17504240;5195748;40919501;1512909;9089;67102489;67505563;5670308;9793703;1867088;526978;11259721;31839080;8829290;7151543;4355286;64039972;9855454;7449716;7165699;16371284;10260989;8657146;6821087;4804320;9325958;944296;11741619;18137561;4456544;7254403;8247411;25974051;1200983;3488261;13046703;6641612;30132808;63056714;9356941;1516143;9414910;48798368;8045206
CC1=C(C2=NOC(=N2)C2=CC(=C(O)C(O)=C2)[N+]([O-])=O)C(Cl)=[N+]([O-])C(C)=C1Cl DB11632	Cc1c(Cl)c(C)[n+]([O-])c(Cl)c1-c1noc(-c2cc(O)c(O)c([N+](=O)[O-])c2)n1	8840290;736579;10306805;1885044;2027141;1269116;355855;1465500;3332711;2225250;11545828;6976261;25945765;243873;6736123;2715502;384801;340204;3251932;4089289;4796985;9356169;7785595;3225518;9889277;10693161;158846;12694616;753272;6445727;2681126;8371573;13780899;18910444;5395145;7242891;2501295;1302126;2046479;902523;3353118;23359868;8011930;61134;1343817;2102507;1848973;1056855;1340519;1788330;7801383;2560011;6236411;1561517;15502326;4505870;1246101;1613399;5610406;7552412;1464252;6361404;8517033;12854874;9182555;8761428;16871187;13889902;2800487;3492562;9135976;7039183;1534950;3096295;6089963;371557;3016159;4405481;14476619;1135864;9189008;4796451;6274406;3323174;1129061;4334988;375477;17738845;20156109;4294688;6240794;3570462;12168794;18426184;4892973;3179090;8172064;2351298;219661;6152755;3089334;3807575;32770904;8329859;13022270;4994967;1398358;11983737;9184596;276294;52351;7608837;15933915;1539644;577850;2591255;23783063;3506911;4212919;9992468;1947412;5342588;1072064;627672;2141382;6077216;23389872;954992
COC(=O)N[C@@H](C(C)C)C(=O)N1CCC[C@H]1C(=O)NC1=CC=C(C=C1)[C@@H]1CC[C@H](N1C1=CC=C(C=C1)C(C)(C)C)C1=CC=C(NC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)OC)C(C)C)C=C1 DB09296	COC(=O)NC(C(=O)N1CCCC1C(=O)Nc1ccc(C2CCC(c3ccc(NC(=O)C4CCCN4C(=O)C(NC(=O)OC)C(C)C)cc3)N2c2ccc(C(C)(C)C)cc2)cc1)C(C)C	459281;338738;99402;2461599;930906;1910088;761816;3577276;4377083;4247050;771906;1581139;5401657;150363;2741499;2191104;2006889;3783354;190588;483609;1857649;5393671;983527;1918974;2361733;1637522;1271917;7752570;4171512;7477602;1215560;57342;4852957;1493956;184457;1061295;121326;6797080;9806371;1696025;3062655;1937895;157821;1181880;5397041;1259339;1812427;642397;3497893;597060;2211765;260659;6365387;548237;82868;6063278;5093077;676200;3392758;1713924;361276;3463606;631142;1864006;672607;1222076;3456010;1266339;4547553;3494254;2210656;357559;2547502;12264474;376851;1799675;2413191;1070200;375945;927556;4901881;1346507;1831188;281958;848646;1105540;3272503;366669;4056015;1038765;3869858;1429110;4839424;7448420;4420605;1633142;5373480;2169327;434291;3206352;193220;336251;931132;2565091;4352972;4020367;1523781;11772687;9227312;289862;2676002;620821;5240341;9037272;8597323;1376415;1548447;650863;11556765;1747951;1954204;7510492;1176953;4338187;632471;2166132;81032;131449
CN1CCC[C@@H]1CC1=CNC2=C1C=C(CCS(=O)(=O)C1=CC=CC=C1)C=C2 DB00216	CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12	12537081;7057043;1861194;6116087;20973858;8432250;2454228;4183676;109959;7608346;3897782;537581;7021281;10457143;5259387;2714442;22390761;2652706;426620;11864597;3078140;1059473;3967231;1937982;9619155;15174672;10665625;28402402;26251448;1999417;7936904;9110854;1919482;897428;1483209;12637795;11088225;8562402;10409643;3204800;5435313;3929744;1108997;8554068;23353965;2400747;2677679;9409867;1205763;6697250;6316952;5158145;5760537;2497643;134332;3948526;5189901;1376102;9833849;2106580;3209100;5995504;10742517;1726470;16421827;8267408;1215296;7559528;2467555;1011604;12826888;568031;7466726;33662372;3331990;6240066;15900224;19655893;30696240;5792944;5038613;10878963;789936;19613302;5727597;4667492;2041387;43488981;6639979;3649961;1641268;18013132;2515490;4239608;5075901;320309;3701184;13398518;4914435;1417908;5442574;1453414;9244472;822179;10791342;8825307;5163527;11772687;36088072;19420486;1169703;620821;3849429;4128865;12736156;2105509;14221623;18565227;1882257;2273913;2694512;4661388;19589030;24889858;10079588;2824804;9206472;1694153
[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C DB00741	CC12CCC(=O)C=C1CCC1C2C(O)CC2(C)C1CCC2(O)C(=O)CO	44190779;5120661;1207484;2992710;16613849;4318707;4043587;7741388;1560211;23619298;76758;4626597;182545;2839867;3254139;775631;3164617;5302052;3328044;3508903;5534905;663285;13485071;9366910;748741;2104646;24851452;13778943;3167352;5828939;2058077;1767576;37220096;20530692;922513;3468715;8956378;2527533;12719375;551848;12661185;11624784;2303014;608218;278561;1353835;9496879;4959655;4784033;1895536;5282686;1708005;14632817;52229935;7057452;2981726;840149;30518158;16240892;3561172;16056348;9645644;2952470;8263038;3882867;999332;7026764;1855566;11412099;3723258;6020472;3798411;3611422;993997;1145023;4206840;1362922;4059218;497656;4919808;9702865;419411;5164860;4332246;57850386;921220;2668715;11635045;277622;653202;7895376;4087656;599985;1485514;29976219;4224279;26277;9005816;1278603;11451106;8360357;6103144;2904992;1663299;9479192;967803;7279894;10412499;8663608;8891846;1194535;15472159;16654677;15029694;16408585;10613107;11563199;29882647;4698815;12077706;122078;5278820;17876678;1920593;4206316;7037638;1514912;3304275
CNC(=O)C1=CN(N=C1)C1=NC2=C(N=CN2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)C(N)=N1 DB06213	CNC(=O)c1cnn(-c2nc(N)c3ncn(C4OC(CO)C(O)C4O)c3n2)c1	1628907;6229689;6946573;5152246;3505983;3698800;10795295;688108;988403;11119378;17050790;807123;622225;5468557;1631483;3025314;130093;12973750;2297960;5693609;15997825;304861;1440355;303534;4116595;3558407;16606064;201081;1115064;4037717;4765954;5759198;5748709;12590032;5752909;9915023;785380;1602219;1944887;10764590;1237594;26381508;1324367;3200364;754973;2424235;1995959;16433685;2261733;7532218;2567148;5716899;2074399;27985521;7069968;9467038;532213;506601;626009;31993284;6051468;6022046;1167433;7051894;2685715;2473236;303201;5536153;9897046;4082;4535184;1027459;1791654;2631609;1469722;11105947;203565;2092201;13245108;4370299;1871194;5740171;5755678;32663222;2140239;16840676;1455695;5268925;873441;33976;1026471;563530;3735753;4193438;5051797;4570409;146405;1969623;10156541;14563200;24149284;1615863;983584;1263107;11724164;2969000;5414321;675440;3036272;4904006;6069091;5957661;27864543;344868;2502982;22248781;1183851;856935;9922307;14075240;11303734;5829500;1292911;222497;9089072;1179654;12329408;19624899
CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1 DB00619	Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1	6301759;316808;1578989;1623524;6804879;16322911;7595230;16096172;109959;5690658;3597518;1015223;5349321;4002703;5259387;3025314;11083401;764886;1326960;153421;331021;5703593;7697003;9392830;8462125;503928;6050324;5083507;3303032;1429620;4621317;2755628;4852957;3949336;4767805;1038463;2050179;2605578;25420183;4419674;2616970;317845;7424158;6653664;2675449;3801715;152801;755681;7312131;10592828;1068268;6761931;1980141;862285;713268;657630;175453;1083368;7244721;10929180;969004;9966314;717093;8205890;3990271;224136;4766226;5841356;285618;3492562;1857168;1127871;2022038;703365;971874;1516992;9130885;10312152;3218753;927556;11714035;1346507;2603938;6698310;4384600;3338548;9928400;2750437;12353045;10792234;2628548;5519030;7168786;9836856;11355035;8535244;958522;6083700;4515849;351565;4198044;336251;6762936;3688483;2248988;9201527;3367459;7751032;12849648;2758918;3296591;620821;13075049;1806370;811837;1582477;3246719;11250783;733799;15143031;1954204;1148612;1648060;13695242;260445;2232620;1795660;8822528
NC(=O)OCC(COC(N)=O)C1=CC=CC=C1 DB00949	NC(=O)OCC(COC(N)=O)c1ccccc1	6670835;133703050;20214135;33531799;55867146;37383754;37674170;26060532;96831;23601642;19745556;34120699;269109;2323449;62031995;10223092;44457145;64657674;21074672;81514380;69031666;5703593;22077179;28863790;2337535;129379700;3069791;7236148;24944632;7491275;15117179;12551221;10441768;32935840;21160965;7105915;20720527;84104625;109232027;16575432;12688106;38164306;7649534;15515954;62773257;23803971;45930527;1844201;89899623;4206118;12743744;18814707;21790045;2497643;12969638;32152862;162679557;11125961;44430540;6894972;39128684;15900494;28899807;23673928;20934095;13517680;56384029;123912698;38963697;15532327;53577296;13107679;12021902;22049660;43984782;6240066;55109039;1590051;12055744;20158185;7137632;10878963;92151290;32815654;1960852;52432796;155731875;3528517;1960410;105992443;17142153;10247246;15247076;7039678;30622218;32874081;27377012;95321915;19517087;1417908;49621720;98203575;18372124;7165699;55138960;13909799;80641626;72636458;14259396;13287750;18325532;33485369;15513019;2125484;12820365;89158449;15235051;5072859;16542949;2976110;5697620;33572048;102696104;2695670;2719228;46287990;17297764;1584635
